date,precipitation,windSpeed
1/1/2017,0,34.2
2/1/2017,0,17.6
3/1/2017,0,26.1
4/1/2017,0,27.7
5/1/2017,0,14.3
6/1/2017,0,20
7/1/2017,0,20.8
8/1/2017,0,6.8
9/1/2017,0,23.3
10/1/2017,0,36.6
11/1/2017,0,37.8
12/1/2017,0.4,28
13/1/2017,0.5,22.9
14/1/2017,1,29.7
15/1/2017,1.5,29.3
16/1/2017,0.4,35.5
17/1/2017,0,37.3
18/1/2017,0.4,24.2
19/1/2017,0,12.8
20/1/2017,0.4,26.9
21/1/2017,0,20.1
22/1/2017,0,18.8
23/1/2017,0,33
24/1/2017,0,43
25/1/2017,0,30.7
26/1/2017,0,27.4
27/1/2017,0,18.8
28/1/2017,0.3,30.4
29/1/2017,2.4,28.2
30/1/2017,1.2,22.8
31/1/2017,0.5,34.3
1/2/2017,0.4,23.9
2/2/2017,0.4,43
3/2/2017,0,31.4
4/2/2017,1.6,22.2
5/2/2017,3.3,11
6/2/2017,0.4,38.5
7/2/2017,0,47.2
8/2/2017,0.4,29.7
9/2/2017,0.4,39.9
10/2/2017,0,27.7
11/2/2017,0,22.7
12/2/2017,0,20.8
13/2/2017,0,30.3
14/2/2017,0,35.3
15/2/2017,0,28.3
16/2/2017,0,16.3
17/2/2017,0,10.5
18/2/2017,0,19.1
19/2/2017,0.3,30
20/2/2017,0.4,12.8
21/2/2017,4.6,35.5
22/2/2017,8,18.5
23/2/2017,0.4,18.8
24/2/2017,0.4,28
25/2/2017,0.7,22.4
26/2/2017,1.4,21.7
27/2/2017,0,33.6
28/2/2017,0,31.3
1/3/2017,0,11.3
2/3/2017,0,25.5
3/3/2017,0,32.8
4/3/2017,0,23.4
5/3/2017,0,15.9
6/3/2017,0.4,17.3
7/3/2017,0.4,37.8
8/3/2017,2.8,28.5
9/3/2017,0.4,35.2
10/3/2017,0.4,24.3
11/3/2017,0.4,31.7
12/3/2017,1,27
13/3/2017,0,11.9
14/3/2017,8.5,31
15/3/2017,0.4,44.5
16/3/2017,0.4,30.9
17/3/2017,0.4,34.3
18/3/2017,0.3,29.1
19/3/2017,10.7,28.5
20/3/2017,0.4,16.4
21/3/2017,0.6,19.5
22/3/2017,0.9,34.2
23/3/2017,0,16.4
24/3/2017,0.4,28.4
25/3/2017,0.4,23.1
26/3/2017,1,31.6
27/3/2017,0,30.1
28/3/2017,0,27.6
29/3/2017,0.3,27.8
30/3/2017,0.4,22.5
31/3/2017,21.9,23.9
1/4/2017,0.2,24.1
2/4/2017,0,30.8
3/4/2017,0,34
4/4/2017,0,31.4
5/4/2017,0,22
6/4/2017,0.3,17.7
7/4/2017,0,6.8
8/4/2017,0,6.8
9/4/2017,0,12
10/4/2017,0.4,27.8
11/4/2017,0.6,17
12/4/2017,21.5,26.3
13/4/2017,0.4,22.7
14/4/2017,0,17.5
15/4/2017,0,12.2
16/4/2017,0.4,12.5
17/4/2017,0.4,15.8
18/4/2017,0,23.4
19/4/2017,0,19.5
20/4/2017,3.1,17.4
21/4/2017,7.8,25.2
22/4/2017,6.6,26.1
23/4/2017,1.4,23.7
24/4/2017,0.4,32.4
25/4/2017,10.9,25.2
26/4/2017,2.9,12.7
27/4/2017,3.5,26.9
28/4/2017,0,17.7
29/4/2017,0,9.6
30/4/2017,0,7.3
1/5/2017,0,11.2
2/5/2017,0,8.1
3/5/2017,0.4,12.2
4/5/2017,42.5,12.8
5/5/2017,0,5.1
6/5/2017,0.4,10.1
7/5/2017,1.8,28.5
8/5/2017,9.2,19.4
9/5/2017,10.8,6.1
10/5/2017,0,7
11/5/2017,0,15.1
12/5/2017,0.4,11.8
13/5/2017,4.7,6.2
14/5/2017,0.4,10.8
15/5/2017,38.5,17.6
16/5/2017,3,21.9
17/5/2017,0,14.9
18/5/2017,0.1,36
